datetime,lat,lon,alt_m,speed_kts,cog,satellites,hdop,battery_pct,battery_v,charge_rate,rtc_bat_low,fix,boot
2026-06-04T11:29:20,47.995243,10.147087,609.5,30.21,43.9,15,0.7,91.2,4.110,-4.2,0,1,460
2026-06-04T11:30:19,48.006302,10.146256,595.8,58.52,330.2,15,0.7,91.3,4.110,-4.2,0,1,462
2026-06-04T11:30:47,48.013054,10.138907,587.0,71.33,324.4,15,0.7,91.2,4.114,-4.2,0,1,463
2026-06-04T11:32:43,48.049370,10.136344,570.9,72.58,15.3,15,0.7,91.3,4.111,-4.2,0,1,467
2026-06-04T11:33:11,48.058567,10.138970,566.7,72.61,6.0,15,0.7,91.3,4.115,-4.2,0,1,468
2026-06-04T11:33:39,48.067760,10.139251,563.5,69.04,357.7,13,0.7,91.2,4.113,-4.2,0,1,469
2026-06-04T11:34:36,48.086155,10.136532,559.6,69.88,352.1,14,0.7,91.0,4.115,-4.2,0,1,471
2026-06-04T11:35:04,48.094795,10.134238,556.2,66.37,348.9,15,0.7,91.0,4.113,-4.2,0,1,472
2026-06-04T11:36:57,48.126648,10.110526,548.0,69.42,350.3,15,0.7,91.2,4.110,-4.2,0,1,476
2026-06-04T11:37:25,48.135571,10.110865,551.9,69.28,9.9,15,0.7,91.0,4.109,-4.2,0,1,477
2026-06-04T11:37:53,48.144005,10.115566,543.9,70.58,29.0,15,0.7,91.0,4.111,-4.2,0,1,478
2026-06-04T11:38:21,48.151363,10.123460,565.1,70.79,36.3,14,0.7,91.2,4.111,-4.2,0,1,479
2026-06-04T11:40:44,48.195759,10.123231,550.1,66.97,350.0,14,0.7,91.0,4.110,-4.2,0,1,484
2026-06-04T11:41:12,48.204441,10.122642,548.8,68.22,4.4,13,0.7,90.9,4.109,-4.4,0,1,485
2026-06-04T11:41:40,48.213562,10.124450,541.8,74.13,8.2,13,0.7,90.9,4.100,-4.4,0,1,486
2026-06-04T11:43:06,48.242271,10.118950,535.1,70.77,337.5,14,0.7,90.7,4.110,-4.2,0,1,489
2026-06-04T11:43:34,48.251102,10.114339,544.9,74.27,348.2,14,0.7,90.7,4.105,-4.2,0,1,490
2026-06-04T11:44:02,48.260178,10.114415,547.4,69.81,8.1,13,0.7,90.5,4.104,-4.2,0,1,491
2026-06-04T11:45:28,48.287773,10.114900,551.7,73.63,356.7,9,1.1,90.9,4.100,-4.4,0,1,494
2026-06-04T11:45:56,48.296921,10.111170,544.1,75.38,335.2,14,0.7,90.4,4.105,-4.2,0,1,495
2026-06-04T11:46:53,48.310268,10.096949,544.7,50.08,325.2,13,0.7,90.9,4.111,-4.4,0,1,497
2026-06-04T11:47:21,48.315109,10.092818,538.4,43.08,335.2,14,0.7,90.4,4.109,-4.2,0,1,498
2026-06-04T11:47:49,48.320236,10.090287,535.1,44.84,346.9,14,0.7,90.5,4.106,-4.2,0,1,499
2026-06-04T11:49:15,48.341835,10.086483,520.4,73.33,347.7,14,0.7,90.4,4.109,-4.2,0,1,502
2026-06-04T11:50:13,48.360794,10.081620,519.1,75.72,0.7,15,0.7,90.5,4.108,-4.2,0,1,504
2026-06-04T11:50:41,48.370453,10.083555,522.0,76.27,12.7,13,0.8,90.9,4.105,-4.4,0,1,505
