datetime,lat,lon,alt_m,speed_kts,satellites,hdop,battery_pct,battery_v,fix,boot
2026-03-20T00:01:09,-37.836048,144.968430,50.3,0.57,10,0.9,67.3,3.919,1,602
2026-03-20T00:04:11,-37.836098,144.968506,50.8,0.16,13,0.7,67.2,3.922,1,603
2026-03-20T00:07:13,-37.835999,144.968552,48.9,0.17,13,0.8,67.2,3.922,1,604
2026-03-20T00:10:15,-37.836056,144.968552,45.9,0.43,15,0.7,66.7,3.920,1,605
2026-03-20T00:13:17,-37.836044,144.968506,45.3,0.26,13,0.8,66.7,3.918,1,606
2026-03-20T00:16:19,-37.836014,144.968460,43.2,0.21,16,0.6,67.0,3.919,1,607
2026-03-20T00:19:21,-37.835957,144.968567,40.3,0.47,16,0.7,66.9,3.915,1,608
2026-03-20T00:22:23,-37.835995,144.968506,40.0,0.58,17,0.6,66.6,3.915,1,609
2026-03-20T00:25:25,-37.836010,144.968521,40.8,0.70,17,0.6,66.6,3.916,1,610
2026-03-20T00:28:27,-37.836002,144.968597,42.2,0.21,16,0.6,66.4,3.916,1,611
2026-03-20T00:31:29,-37.835987,144.968628,43.9,0.29,16,0.6,66.4,3.912,1,612
2026-03-20T00:34:31,-37.835999,144.968475,46.1,0.37,14,0.8,66.6,3.912,1,613
2026-03-20T00:37:33,-37.836037,144.968414,48.0,0.65,13,0.8,66.6,3.912,1,614
2026-03-20T00:40:35,-37.836082,144.968430,48.3,0.56,14,0.7,65.9,3.911,1,615
2026-03-20T00:43:37,-37.835953,144.968460,51.9,0.94,13,0.8,66.0,3.912,1,616
2026-03-20T00:46:39,-37.835995,144.968460,48.4,0.60,15,0.6,66.0,3.912,1,617
2026-03-20T00:49:41,-37.836033,144.968414,50.7,0.59,13,0.7,66.0,3.914,1,618
2026-03-20T00:52:43,-37.836082,144.968369,48.7,0.49,12,0.8,65.7,3.912,1,619
2026-03-20T00:55:46,-37.836071,144.968414,50.4,0.67,15,0.7,65.7,3.908,1,620
2026-03-20T00:58:48,-37.836079,144.968338,50.1,0.11,14,0.7,65.7,3.910,1,621
2026-03-20T01:01:50,-37.835976,144.968445,50.4,0.39,12,0.9,65.6,3.906,1,622
2026-03-20T01:04:51,-37.836010,144.968369,49.5,0.98,12,0.8,65.6,3.909,1,623
2026-03-20T01:07:54,-37.835960,144.968460,46.4,0.14,10,0.9,65.6,3.905,1,624
2026-03-20T01:10:55,-37.836174,144.968155,29.8,1.16,11,0.9,65.4,3.904,1,625
2026-03-20T01:13:57,-37.835361,144.970581,26.3,0.78,10,1.1,65.3,3.905,1,626
2026-03-20T01:16:59,-37.832539,144.966797,11.6,9.20,14,0.8,65.3,3.908,1,627
2026-03-20T01:20:01,-37.828621,144.958099,26.2,31.07,10,1.3,65.1,3.902,1,628
2026-03-20T01:20:28,-37.827755,144.953094,20.8,35.63,16,0.7,65.0,3.902,1,629
2026-03-20T01:20:56,-37.826786,144.947754,27.5,30.80,12,0.9,64.8,3.901,1,630
2026-03-20T01:21:23,-37.825874,144.942551,6.9,36.03,14,0.7,65.0,3.904,1,631
2026-03-20T01:21:50,-37.826008,144.935837,18.4,42.10,15,0.7,65.0,3.905,1,632
2026-03-20T01:22:18,-37.827034,144.929565,23.9,35.24,14,0.7,64.8,3.900,1,633
2026-03-20T01:22:45,-37.828453,144.930634,23.5,34.95,12,0.8,65.0,3.905,1,634
2026-03-20T01:23:12,-37.823563,144.930725,36.1,42.13,17,0.6,65.1,3.904,1,635
2026-03-20T01:23:39,-37.818214,144.932632,47.4,41.07,17,0.6,65.0,3.904,1,636
2026-03-20T01:24:07,-37.812664,144.934036,28.2,45.68,16,0.7,65.3,3.905,1,637
2026-03-20T01:24:34,-37.807262,144.933304,31.9,44.49,19,0.6,65.0,3.904,1,638
2026-03-20T01:25:02,-37.802002,144.936172,37.5,41.70,17,0.6,65.0,3.905,1,639
2026-03-20T01:25:29,-37.796665,144.936020,33.0,43.55,18,0.6,64.7,3.904,1,640
2026-03-20T01:25:56,-37.791210,144.936691,30.8,44.01,19,0.6,65.0,3.904,1,641
2026-03-20T01:26:24,-37.785942,144.939545,35.3,45.69,17,0.6,64.8,3.901,1,642
2026-03-20T01:26:51,-37.780342,144.939041,29.4,46.14,14,0.7,65.0,3.901,1,643
2026-03-20T01:27:19,-37.774563,144.936966,24.2,44.78,15,0.7,64.8,3.906,1,644
2026-03-20T01:27:46,-37.769073,144.937332,28.5,44.23,17,0.6,64.8,3.904,1,645
2026-03-20T01:28:14,-37.763405,144.937744,33.2,43.57,16,0.6,64.8,3.905,1,646
2026-03-20T01:28:41,-37.757854,144.937973,28.2,45.99,15,0.7,64.7,3.899,1,647
2026-03-20T01:29:09,-37.752453,144.935806,35.2,43.31,13,0.7,65.0,3.902,1,648
2026-03-20T01:29:36,-37.747284,144.934265,41.1,45.31,15,0.7,64.8,3.901,1,649
2026-03-20T01:30:04,-37.741924,144.932266,44.9,44.56,17,0.6,64.8,3.905,1,650
2026-03-20T01:30:31,-37.736950,144.929749,58.6,43.63,17,0.6,64.7,3.901,1,651
2026-03-20T01:30:59,-37.733631,144.923935,55.7,43.58,18,0.6,64.8,3.898,1,652
2026-03-20T01:31:26,-37.732704,144.917267,64.8,44.01,17,0.6,64.7,3.900,1,653
2026-03-20T01:31:54,-37.733452,144.910110,79.0,45.27,17,0.6,64.7,3.898,1,654
2026-03-20T01:32:21,-37.735542,144.903824,84.1,44.07,16,0.6,64.7,3.901,1,655
2026-03-20T01:32:49,-37.734772,144.896225,85.2,48.56,17,0.6,64.7,3.904,1,656
2026-03-20T01:33:16,-37.731224,144.890518,91.9,51.91,18,0.6,64.6,3.901,1,657
2026-03-20T01:33:44,-37.724838,144.891479,82.3,53.67,14,0.8,64.7,3.895,1,658
2026-03-20T01:34:11,-37.718170,144.892258,98.5,53.69,18,0.6,64.6,3.899,1,659
2026-03-20T01:34:39,-37.711205,144.891037,104.3,56.59,17,0.6,64.7,3.905,1,660
2026-03-20T01:35:06,-37.704887,144.889313,106.0,50.97,16,0.7,64.7,3.898,1,661
2026-03-20T01:35:34,-37.698425,144.887634,117.8,50.50,18,0.6,64.7,3.895,1,662
2026-03-20T01:36:01,-37.692528,144.883911,127.3,52.98,17,0.6,64.7,3.904,1,663
2026-03-20T01:36:29,-37.687481,144.878693,122.0,50.47,18,0.6,64.6,3.901,1,664
2026-03-20T01:36:56,-37.683167,144.873199,122.0,44.28,17,0.6,64.3,3.899,1,665
2026-03-20T01:37:23,-37.679459,144.868469,126.4,40.33,18,0.6,64.7,3.902,1,666
2026-03-20T01:37:51,-37.676712,144.862305,126.1,44.97,18,0.6,64.7,3.899,1,667
2026-03-20T01:38:18,-37.674763,144.856461,122.6,33.66,18,0.6,64.6,3.898,1,668
2026-03-20T01:38:46,-37.673237,144.852661,119.0,10.48,16,0.7,64.6,3.901,1,669
2026-03-20T01:39:13,-37.673218,144.852600,120.6,0.53,17,0.7,64.3,3.901,1,670
2026-03-20T01:39:41,-37.673199,144.852570,120.1,1.30,12,0.9,64.8,3.900,1,671
2026-03-20T01:40:08,-37.672264,144.850372,120.7,18.82,14,0.7,64.4,3.899,1,672
2026-03-20T01:40:36,-37.671986,144.849503,134.7,0.06,15,0.7,64.6,3.901,1,673
2026-03-20T01:41:03,-37.671719,144.849060,135.7,4.21,18,0.6,64.7,3.898,1,674
2026-03-20T01:41:31,-37.671124,144.848846,148.5,8.68,16,0.8,64.3,3.901,1,675
2026-03-20T01:41:58,-37.670723,144.848831,151.2,1.32,15,0.7,64.6,3.901,1,676
2026-03-20T01:42:26,-37.669933,144.849411,150.5,0.17,14,0.7,64.4,3.900,1,677
2026-03-20T01:42:53,-37.669827,144.849503,152.4,0.52,18,0.6,64.4,3.898,1,678
2026-03-20T01:45:55,-37.670731,144.850586,151.2,0.46,4,4.3,64.7,3.896,1,679
2026-03-20T01:48:57,-37.669731,144.850754,172.2,2.34,7,1.5,64.6,3.895,1,680
2026-03-20T01:52:18,,,,,,,64.0,3.889,0,681
2026-03-20T01:55:38,,,,,,,64.3,3.889,0,682
2026-03-20T01:58:59,,,,,,,64.1,3.888,0,683
2026-03-20T02:04:19,,,,,,,63.8,3.888,0,684
2026-03-20T02:09:39,,,,,,,63.7,3.885,0,685
2026-03-20T02:14:50,-37.668316,144.846176,189.7,2.98,4,1.3,63.5,3.891,1,686
2026-03-20T02:15:17,-37.668297,144.844620,148.4,1.98,3,1.4,63.7,3.892,1,687
2026-03-20T02:16:03,,,,,,,63.4,3.882,0,688
2026-03-20T02:19:05,-37.668373,144.846329,188.7,1.46,6,1.4,63.4,3.886,1,689
2026-03-20T02:19:32,-37.668392,144.846725,161.1,1.48,7,1.0,63.5,3.888,1,690
2026-03-20T02:20:00,-37.668350,144.846512,162.0,1.99,7,1.4,63.4,3.892,1,691
2026-03-20T02:20:27,-37.668308,144.846329,158.3,0.77,6,1.5,63.7,3.885,1,692
2026-03-20T02:20:54,-37.668324,144.846313,158.8,1.10,9,0.9,63.4,3.888,1,693
2026-03-20T02:21:22,-37.668320,144.846283,159.8,1.84,7,1.2,63.5,3.889,1,694
2026-03-20T02:21:49,-37.668381,144.846390,159.0,0.60,9,0.9,63.1,3.886,1,695
2026-03-20T02:22:17,-37.668537,144.846725,162.0,1.61,4,2.8,63.1,3.888,1,696
2026-03-20T02:22:44,-37.668533,144.846756,168.2,1.95,8,0.9,63.3,3.890,1,697
2026-03-20T02:23:11,-37.668488,144.846634,169.1,1.31,11,0.8,63.3,3.890,1,698
2026-03-20T02:23:39,-37.668499,144.846649,166.7,1.37,6,1.1,63.1,3.890,1,699
2026-03-20T02:24:06,-37.668476,144.846664,163.6,0.67,6,1.1,63.3,3.889,1,700
2026-03-20T02:24:34,-37.668491,144.846710,165.5,1.04,5,1.3,63.3,3.886,1,701
2026-03-20T02:25:01,-37.668461,144.846497,168.1,0.83,7,1.2,63.1,3.886,1,702
2026-03-20T02:25:29,-37.668510,144.846298,167.7,1.17,4,1.5,63.3,3.886,1,703
2026-03-20T02:25:56,-37.668472,144.846252,168.4,1.51,7,1.1,63.1,3.890,1,704
2026-03-20T02:26:23,-37.668407,144.846237,165.2,1.00,7,1.1,63.0,3.890,1,705
2026-03-20T02:26:51,-37.668488,144.846344,160.9,0.53,5,1.2,63.3,3.886,1,706
2026-03-20T02:29:53,-37.668522,144.846527,162.6,0.07,7,0.9,63.4,3.885,1,707
