datetime,lat,lon,alt_m,speed_kts,cog,satellites,hdop,battery_pct,battery_v,charge_rate,rtc_bat_low,fix,boot
2026-06-03T00:01:50,43.490788,11.376988,418.2,0.03,159.6,3,6.1,97.8,4.165,-4.4,0,1,6077
2026-06-03T00:05:03,43.490513,11.376924,449.6,0.92,55.1,5,1.3,98.3,4.169,-4.2,0,1,6078
2026-06-03T00:08:14,43.490726,11.377077,440.8,0.03,93.6,4,1.7,98.8,4.175,-4.2,0,1,6079
2026-06-03T00:11:28,43.490814,11.377092,437.1,3.57,334.0,4,1.6,99.6,4.180,-4.2,0,1,6080
2026-06-03T00:14:39,43.490730,11.377023,429.4,0.82,29.2,3,4.3,100.2,4.186,-4.2,0,1,6081
2026-06-03T00:17:53,43.490524,11.377067,432.9,0.78,349.0,5,1.7,101.0,4.189,-4.4,0,1,6082
2026-06-03T00:21:07,43.490936,11.377240,433.7,0.87,199.7,6,2.2,101.5,4.194,-4.2,0,1,6083
2026-06-03T00:24:19,43.490692,11.377049,430.2,2.13,112.5,4,2.0,102.1,4.200,-4.2,0,1,6084
2026-06-03T00:27:33,43.490780,11.376971,418.3,0.62,114.9,5,1.9,102.7,4.206,-4.2,0,1,6085
2026-06-03T00:30:45,43.490707,11.377100,419.3,0.82,85.0,4,3.1,103.7,4.211,-4.2,0,1,6086
2026-06-03T00:33:59,43.491093,11.377063,417.5,2.39,165.1,8,1.3,104.1,4.214,-4.4,0,1,6087
2026-06-03T00:37:11,43.490662,11.377172,426.4,0.02,110.1,4,1.8,104.1,4.213,-4.4,0,1,6088
2026-06-03T00:40:25,43.490917,11.376957,465.4,0.37,144.2,5,3.5,103.8,4.214,-4.2,0,1,6089
2026-06-03T00:43:40,43.491013,11.376028,460.6,7.21,308.1,4,3.8,104.3,4.215,-4.2,0,1,6090
2026-06-03T00:46:56,43.490833,11.376882,421.7,3.49,140.4,6,1.8,103.8,4.214,-4.2,0,1,6091
2026-06-03T00:47:39,43.490768,11.376966,432.9,7.89,114.6,6,1.8,104.0,4.216,-4.2,0,1,6092
2026-06-03T00:48:22,43.490856,11.377060,419.4,1.17,139.6,5,1.4,104.3,4.216,-4.2,0,1,6093
2026-06-03T00:49:01,43.490795,11.376998,458.8,0.73,139.6,6,1.3,104.1,4.215,-4.4,0,1,6094
2026-06-03T00:49:40,43.490791,11.376447,429.2,0.08,263.4,4,2.0,104.1,4.216,-4.4,0,1,6095
2026-06-03T00:52:57,43.491379,11.377116,515.9,11.97,6.7,5,2.6,104.3,4.216,-4.2,0,1,6096
2026-06-03T00:56:12,43.490993,11.377080,440.5,4.61,185.8,7,2.1,104.3,4.218,-4.2,0,1,6097
2026-06-03T00:56:54,43.490955,11.376976,436.6,1.04,102.3,6,2.2,104.5,4.215,-4.2,0,1,6098
2026-06-03T00:57:35,43.490826,11.376946,431.0,1.96,182.3,4,2.7,104.6,4.218,-4.2,0,1,6099
2026-06-03T00:58:15,43.491005,11.376902,459.6,1.72,23.9,4,2.7,104.1,4.218,-4.4,0,1,6100
2026-06-03T00:58:57,43.491001,11.376919,444.7,3.68,0.5,5,2.6,104.3,4.218,-4.2,0,1,6101
2026-06-03T00:59:55,43.490681,11.377068,445.1,1.12,151.2,5,5.4,104.5,4.219,-4.2,0,1,6102
2026-06-03T01:00:54,43.490704,11.377132,448.1,0.75,142.1,4,5.6,104.3,4.218,-4.2,0,1,6103
2026-06-03T01:01:40,43.490799,11.377033,446.7,1.09,334.0,4,2.6,104.3,4.218,-4.2,0,1,6104
2026-06-03T01:02:20,43.490822,11.376824,433.0,0.07,273.0,3,2.7,104.3,4.219,-4.2,0,1,6105
2026-06-03T01:02:59,43.490730,11.377053,423.7,0.10,273.0,3,2.7,104.3,4.218,-4.2,0,1,6106
2026-06-03T01:06:14,43.491383,11.377260,401.9,2.81,84.6,5,1.8,104.3,4.218,-4.2,0,1,6107
2026-06-03T01:06:14,,,,,,,,104.6,4.218,-4.2,0,0,6108
2026-06-03T01:13:05,43.491165,11.376717,437.9,1.17,182.1,3,2.5,104.5,4.216,-4.2,0,1,6109
2026-06-03T01:13:44,43.490734,11.377028,412.1,0.07,153.1,5,1.5,104.5,4.219,-4.2,0,1,6110
2026-06-03T01:14:27,43.490860,11.376650,404.4,1.09,309.8,7,1.2,104.5,4.219,-4.2,0,1,6111
2026-06-03T01:15:06,43.490742,11.376945,432.2,0.63,326.0,5,2.0,104.5,4.219,-4.2,0,1,6112
2026-06-03T01:15:45,43.490391,11.376598,458.3,0.32,326.0,5,1.8,104.5,4.218,-4.2,0,1,6113
2026-06-03T01:19:01,43.490856,11.377102,429.7,0.38,354.5,5,1.7,104.5,4.220,-4.2,0,1,6114
2026-06-03T01:22:13,43.490723,11.376804,439.0,0.36,263.2,4,1.8,104.6,4.220,-4.2,0,1,6115
2026-06-03T01:25:27,43.490856,11.377011,452.0,2.65,269.9,6,1.6,104.5,4.219,-4.2,0,1,6116
2026-06-03T01:28:39,43.490810,11.376959,436.3,1.95,310.1,4,1.5,104.5,4.219,-4.2,0,1,6117
2026-06-03T01:29:16,43.490608,11.376954,438.4,0.04,330.7,5,1.9,104.5,4.218,-4.2,0,1,6118
2026-06-03T01:29:54,43.490948,11.377090,439.7,0.52,29.7,6,1.6,104.5,4.219,-4.2,0,1,6119
2026-06-03T01:33:05,43.490925,11.377228,434.7,0.00,205.3,3,3.8,104.5,4.219,-4.2,0,1,6120
2026-06-03T01:36:17,43.490788,11.377132,443.0,1.43,60.7,4,7.9,104.5,4.218,-4.2,0,1,6121
2026-06-03T01:39:30,43.490788,11.376864,440.2,0.32,240.9,6,1.4,104.6,4.218,-4.2,0,1,6122
2026-06-03T01:42:45,43.490856,11.377154,450.2,1.05,341.7,7,1.3,104.9,4.219,-4.2,0,1,6123
2026-06-03T01:45:59,43.490715,11.376996,451.4,1.43,32.6,6,1.8,103.8,4.214,-4.2,0,1,6124
2026-06-03T01:46:38,43.490856,11.377087,445.1,0.66,311.7,5,1.8,104.0,4.214,-4.2,0,1,6125
2026-06-03T01:47:17,43.490635,11.377218,434.6,0.82,327.2,5,5.3,104.3,4.214,-4.2,0,1,6126
2026-06-03T01:50:30,43.490612,11.377132,430.0,0.53,258.2,5,1.6,103.8,4.213,-4.2,0,1,6127
2026-06-03T01:53:41,43.490765,11.376966,431.9,0.65,23.1,3,4.7,103.8,4.214,-4.2,0,1,6128
2026-06-03T01:56:54,43.490623,11.376989,433.6,12.30,182.0,5,1.9,103.8,4.213,-4.2,0,1,6129
2026-06-03T02:00:06,43.490726,11.377056,429.1,0.91,4.2,4,1.9,103.8,4.211,-4.2,0,1,6130
2026-06-03T02:03:17,43.490665,11.377296,427.0,1.03,207.4,4,1.6,103.7,4.211,-4.2,0,1,6131
2026-06-03T02:06:31,43.490677,11.376844,440.5,1.25,335.8,6,1.1,103.8,4.211,-4.2,0,1,6132
2026-06-03T02:07:11,43.490757,11.377185,416.7,1.11,180.6,5,1.9,103.7,4.211,-4.2,0,1,6133
2026-06-03T02:07:50,43.490719,11.377602,513.6,1087.39,351.0,6,1.3,103.7,4.211,-4.2,0,1,6134
2026-06-03T02:08:27,43.490707,11.377125,442.0,0.01,351.0,3,7.7,103.7,4.211,-4.2,0,1,6135
2026-06-03T02:09:07,43.490673,11.377013,430.4,3.17,351.0,5,1.4,103.7,4.211,-4.2,0,1,6136
2026-06-03T02:09:46,43.490570,11.377125,430.9,0.02,90.9,4,1.4,103.8,4.211,-4.2,0,1,6137
2026-06-03T02:10:26,43.490559,11.376951,411.3,0.05,90.9,6,1.2,103.7,4.210,-4.2,0,1,6138
2026-06-03T02:13:38,43.490723,11.377203,411.4,0.63,113.5,5,1.5,103.5,4.211,-4.4,0,1,6139
2026-06-03T02:16:49,43.490814,11.376859,427.8,0.05,342.0,4,1.6,103.7,4.211,-4.2,0,1,6140
2026-06-03T02:20:01,43.490593,11.377023,475.6,0.56,76.1,4,1.8,103.8,4.210,-4.2,0,1,6141
2026-06-03T02:23:12,43.490608,11.377096,433.2,0.42,51.5,4,1.8,104.1,4.209,-4.4,0,1,6142
2026-06-03T02:26:23,43.490677,11.377048,433.2,0.11,344.3,4,1.5,103.7,4.210,-4.2,0,1,6143
2026-06-03T02:29:37,43.490791,11.377008,449.5,0.52,177.9,4,1.9,103.4,4.213,-4.2,0,1,6144
2026-06-03T02:32:48,43.490685,11.377100,434.4,0.29,34.6,7,1.3,104.0,4.211,-4.2,0,1,6145
2026-06-03T02:36:01,43.490757,11.376982,425.2,1.21,342.3,4,1.9,103.5,4.210,-4.4,0,1,6146
2026-06-03T02:39:13,43.490658,11.377187,439.3,0.51,317.5,5,1.8,103.5,4.211,2755.8,0,1,6147
2026-06-03T02:42:24,43.490711,11.377140,440.6,0.00,202.3,4,2.5,103.7,4.211,-4.2,0,1,6148
2026-06-03T02:45:36,43.490940,11.377092,433.5,1.97,311.6,3,2.5,103.7,4.213,-4.2,0,1,6149
2026-06-03T02:48:50,43.490570,11.377593,472.0,1.50,103.7,6,1.6,103.7,4.211,-4.2,0,1,6150
2026-06-03T02:49:29,43.490597,11.377222,444.8,0.68,107.6,6,1.7,103.7,4.211,-4.2,0,1,6151
2026-06-03T02:50:09,43.490894,11.377365,575.6,6.44,40.7,5,1.6,103.4,4.210,-4.2,0,1,6152
2026-06-03T02:50:51,43.490868,11.377250,427.9,1.36,152.0,6,1.6,103.4,4.210,-4.2,0,1,6153
2026-06-03T02:51:31,43.490528,11.377154,374.8,0.07,248.5,4,2.5,103.5,4.209,-4.4,0,1,6154
2026-06-03T02:52:12,43.490582,11.377107,408.7,0.08,248.5,4,2.5,103.5,4.209,-4.4,0,1,6155
2026-06-03T02:55:25,43.490635,11.377038,435.1,0.72,258.7,6,1.5,103.5,4.210,-4.4,0,1,6156
2026-06-03T02:58:37,43.490665,11.376914,438.1,1.69,212.5,3,3.0,103.5,4.209,-4.4,0,1,6157
2026-06-03T03:01:49,43.490582,11.377053,437.7,3.33,257.8,4,1.7,103.7,4.210,-4.2,0,1,6158
2026-06-03T03:02:26,43.490482,11.377160,430.8,0.00,210.9,4,2.7,103.5,4.210,-4.4,0,1,6159
2026-06-03T03:03:09,43.490929,11.377088,416.0,2.64,28.6,6,1.5,103.5,4.209,-4.4,0,1,6160
2026-06-03T03:03:50,43.490849,11.377080,430.1,1.56,28.6,4,2.4,103.5,4.210,-4.4,0,1,6161
2026-06-03T03:04:27,43.490791,11.376909,439.4,0.12,28.6,4,2.8,103.4,4.210,-4.2,0,1,6162
2026-06-03T03:05:05,43.490559,11.377077,433.3,347.08,200.6,5,2.2,103.5,4.207,-4.4,0,1,6163
2026-06-03T03:05:42,43.490589,11.376962,446.6,0.09,335.4,4,2.3,103.4,4.211,-4.2,0,1,6164
2026-06-03T03:06:20,43.490597,11.376946,426.4,0.42,121.0,6,1.6,103.4,4.209,-4.2,0,1,6165
2026-06-03T03:09:31,43.490726,11.377068,435.0,0.84,3.2,3,7.7,103.5,4.210,-4.4,0,1,6166
2026-06-03T03:12:43,43.490707,11.377058,430.9,0.61,34.8,3,6.4,103.7,4.211,-4.2,0,1,6167
2026-06-03T03:15:54,43.490734,11.377120,430.6,0.91,185.7,6,2.5,103.5,4.210,-4.4,0,1,6168
2026-06-03T03:19:08,43.490856,11.376933,418.7,1.11,349.8,6,3.5,103.4,4.210,-4.2,0,1,6169
2026-06-03T03:22:28,43.490917,11.376879,434.5,3.62,323.3,6,1.9,103.4,4.209,-4.2,0,1,6170
2026-06-03T03:23:18,43.491081,11.376643,444.6,0.60,349.1,5,4.7,103.5,4.209,-4.4,0,1,6171
2026-06-03T03:23:55,43.490879,11.376911,432.9,0.14,43.2,3,9.3,103.4,4.210,-4.2,0,1,6172
2026-06-03T03:27:07,43.490913,11.376985,433.7,0.26,36.2,5,2.2,103.4,4.207,-4.2,0,1,6173
2026-06-03T03:30:21,43.490650,11.376968,418.7,0.28,227.9,3,3.2,103.4,4.209,-4.2,0,1,6174
2026-06-03T03:33:34,43.490742,11.376966,417.2,1.33,290.0,6,2.3,103.4,4.211,-4.2,0,1,6175
2026-06-03T03:37:03,43.490974,11.376833,429.4,0.61,88.4,6,1.6,103.5,4.209,-4.4,0,1,6176
2026-06-03T03:40:17,43.490700,11.376854,437.5,0.19,134.4,5,2.5,103.5,4.210,-4.4,0,1,6177
2026-06-03T03:43:31,43.490696,11.376954,425.3,1.04,44.3,5,2.6,103.4,4.210,-4.2,0,1,6178
2026-06-03T03:46:47,43.490780,11.376908,420.5,1.85,148.0,5,2.9,103.7,4.210,-4.2,0,1,6179
2026-06-03T03:47:27,43.490879,11.376994,429.5,0.13,34.5,4,2.0,103.4,4.209,-4.2,0,1,6180
2026-06-03T03:48:07,43.491016,11.377051,386.0,1.28,34.5,5,2.7,103.2,4.209,-4.2,0,1,6181
2026-06-03T03:48:45,43.490738,11.376919,439.7,0.05,34.5,3,5.6,103.4,4.211,-4.2,0,1,6182
2026-06-03T03:49:22,43.490700,11.376974,438.8,0.02,133.4,3,3.6,103.4,4.209,-4.2,0,1,6183
2026-06-03T03:52:40,43.490929,11.377296,440.6,1.16,238.1,6,2.2,103.4,4.209,-4.2,0,1,6184
2026-06-03T03:55:53,43.490749,11.377004,409.9,1.07,45.4,6,2.1,103.4,4.210,-4.2,0,1,6185
2026-06-03T03:56:33,43.490677,11.377005,425.3,0.25,151.3,7,1.3,103.2,4.209,-4.2,0,1,6186
2026-06-03T03:57:13,43.490459,11.376826,473.3,2.99,151.3,7,1.3,103.4,4.210,-4.2,0,1,6187
2026-06-03T03:57:53,43.490643,11.376959,439.9,0.18,286.0,5,1.6,103.7,4.210,-4.2,0,1,6188
2026-06-03T03:58:34,43.490704,11.376879,415.2,4.74,51.7,7,1.6,103.2,4.210,-4.2,0,1,6189
2026-06-03T03:59:16,43.490780,11.376979,429.1,3.78,270.4,6,1.5,103.4,4.210,-4.2,0,1,6190
2026-06-03T03:59:55,43.490582,11.376843,420.8,5.10,180.5,5,2.4,103.4,4.210,-4.2,0,1,6191
2026-06-03T04:00:35,43.490547,11.376869,411.6,0.93,204.8,6,1.8,103.4,4.210,-4.2,0,1,6192
2026-06-03T04:01:16,43.490612,11.376966,429.2,1.69,204.8,6,1.9,103.5,4.209,-4.4,0,1,6193
